CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
g711_ulaw,FILE,48,36,12,432,0.09722222222222224,0.2638888888888889,0.06018518518518523,0.1527777777777778,48,8,0,0,56,-0.0685588450875,-0.05088497047916666,-0.0442814611611111
g711_ulaw,VOICE,48,24,24,576,0.08333333333333334,0.125,0.02604166666666663,0.03125,18,15,0,0,33,0.008190459041666659,-0.013562037408333337,-0.027124074816666673
g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.05208333333333337,0.15451388888888884,70,11,0,0,81,-0.24476252679166666,-0.106127746825,-0.21225549365
g722_wb,FILE,48,36,12,432,0.09722222222222224,0.08333333333333334,0.06018518518518523,0.04861111111111116,7,12,0,0,19,0.003113045341666657,-0.009009410154166663,-0.02817582086666665
g722_wb,VOICE,48,24,24,576,0.08333333333333334,0.041666666666666644,0.02604166666666663,0.00520833333333337,3,15,0,0,18,0.013621648072916673,-0.019197273443749992,-0.03839454688749999
g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.16666666666666663,0.05208333333333337,0.04166666666666663,3,9,0,0,12,-0.007366032889583336,0.007406911372916659,0.014813822745833316
opus_nb_8k,FILE,48,36,12,432,0.09722222222222224,0.33333333333333337,0.06018518518518523,0.3217592592592593,123,10,0,0,133,0.06552030020625,-0.07670445793958333,-0.29190562144722215
opus_nb_8k,VOICE,48,24,24,576,0.08333333333333334,0.41666666666666663,0.02604166666666663,0.34895833333333337,187,1,0,0,188,0.19429050929375,-0.24096101586041666,-0.4819220317208333
opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.05208333333333337,0.1284722222222222,58,14,0,0,72,-0.13804356591666667,-0.11702661200000002,-0.23405322399999998
transcode_g711_opus,FILE,48,36,12,432,0.09722222222222224,0.33333333333333337,0.06018518518518523,0.3125,120,11,0,0,131,0.05633739546249999,-0.08144750365833335,-0.2923098703722222
transcode_g711_opus,VOICE,48,24,24,576,0.08333333333333334,0.375,0.02604166666666663,0.35763888888888884,191,0,0,0,191,0.19709462275416667,-0.2464692925958333,-0.4929385851916667
transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.16666666666666663,0.05208333333333337,0.125,56,14,0,0,70,-0.1363861666104167,-0.12973418993125,-0.2594683798625
